Id,MetricsDate,UserId,PageName,SystemModstamp,RecordCountEPT,TotalCount,SumEPT,EptBinUnder3,EptBin3To5,EptBin5To8,EptBin8To10,EptBinOver10,CoresBinUnder2,CoresBin2To4,CoresBin4To8,CoresBinOver8,DownlinkBinUnder3,DownlinkBin3To5,DownlinkBin5To8,DownlinkBin8To10,DownlinkBinOver10,RttBinUnder50,RttBin50To150,RttBinOver150
0U5dM000000DvFhSAK,2024-07-10,005dM000004WE3FQAW,objectManager:objectList,1720671038000,11,11,10442,11,0,0,0,0,0,0,11,0,0,0,2,9,0,9,2,0
0U5dM000000Dx3eSAC,2024-07-10,005dM000004WE3FQAW,Settings app_flexipage:lwcAppFlexipageWrapper,1720671038000,1,1,778,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
0U5dM000000Dx3sSAC,2024-07-10,005dM000004WE3FQAW,Contact sfa:inspectionDesktopObjectHome,1720671038000,0,3,0,0,0,0,0,0,0,0,3,0,0,1,1,1,0,1,2,0
0U5dM000000DyqiSAC,2024-07-10,005dM000004WE3FQAW,Opportunity Record List,1720671038000,1,1,1062,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0U5dM000000E130SAC,2024-07-10,005dM000004WE3FQAW,trlhdtips__Install_a_Package Custom Lightning Component,1720671038000,1,1,648,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0U5dM000000E2VeSAK,2024-07-10,005dM000004WE3FQAW,Contact runtime_pipeline_inspector:pipelineInspectorHome,1720671038000,0,6,0,0,0,0,0,0,0,0,6,0,0,2,2,2,0,2,4,0
0U5dM000000E2v7SAC,2024-07-10,005dM000004WE3FQAW,objectManager:objectDetailPage,1720671038000,39,40,50663,39,0,0,0,0,0,0,40,0,0,0,12,28,0,32,8,0
0U5dM000000E3xDSAS,2024-07-10,005dM000004WE3FQAW,onesetup:baseHomePage,1720671038000,11,12,14315,11,0,0,0,0,0,0,12,0,0,2,6,4,0,10,2,0
0U5dM000000E4o2SAC,2024-07-10,005dM000004WE3FQAW,support:incidentMgmt,1720671038000,1,1,515,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0U5dM000000E6CLSA0,2024-07-10,005dM000004WE3FQAW,Properti__c one:recordActionWrapper,1720671038000,4,4,7754,2,2,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0
0U5dM000000E6b6SAC,2024-07-10,005dM000004WE3FQAW,Opportunity runtime_platform_actions:quickActionWrapper,1720671038000,2,2,2337,2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
0U5dM000000E8JdSAK,2024-07-10,005dM000004WE3FQAW,Properti__c Record,1720671038000,4,10,3891,4,0,0,0,0,0,0,10,0,0,0,0,10,0,10,0,0
0U5dM000000E8Y7SAK,2024-07-10,005dM000004WE3FQAW,Home,1720671038000,9,15,17603,8,1,0,0,0,0,0,15,0,0,2,3,10,0,10,5,0
0U5dM000000E9EPSA0,2024-07-10,005dM000004WE3FQAW,trlhdtips__Welcome Custom Lightning Component,1720671038000,4,4,3612,4,0,0,0,0,0,0,4,0,1,0,1,2,0,2,2,0
0U5dM000000E9fASAS,2024-07-10,005dM000004WE3FQAW,onesetup:setupAlohaPage,1720671038000,8,10,13495,8,0,0,0,0,0,0,10,0,0,3,2,5,0,9,1,0
